animal_id;name;breed;species;age;gender;sos;image_url;shelter
146676;Shrek;Eurasier;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/146676/shrek-146676-674b162616e0e.jpg;La SPA - Refuge de Le Garric – Albi
146865;DOUALA;Berger Créole;Chien;junior;female;false;https://www.la-spa.fr/app/app/uploads/animals/146865/douala-146865-674b0a13bb0e2.jpg;La SPA - Refuge de Cabourg
145470;SIMBA;American Bully;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/145470/simba-145470-673dfc0c948af.jpg;La SPA - Refuge d'Arry – Gerhard Cramer
141719;Tyson 2;American Bully;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/141719/tyson-2-141719-6719ece08f902.jpg;La SPA - Refuge de Tilloy-Les-Mofflaines – Arras
87954;MAC QUEEN OAA19389;Berger;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/87954/mac-queen-oaa19389-87954-667b2bae00991.jpg;La SPA - Refuge d'Orgeval
51175;OBIWAN;Croisé / Autre, Husky siberien, Berger belge Malinois;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/51175/obiwan-51175-6634f4c6dea3a.jpg;La SPA - Refuge d'Arry – Gerhard Cramer
102364;HAPPY;Croisé / Autre, Labrador (retriever);Chien;senior;male;true;https://www.la-spa.fr/app/app/uploads/animals/102364/happy-102364-673f298fe117b.jpg;La SPA - Refuge de Laon – Des Prés de Longuevalle
146808;TINA;Croisé / Autre, American Bully;Chien;junior;female;false;https://www.la-spa.fr/app/app/uploads/animals/146808/tina-146808-6749f7d8b7f2a.jpg;La SPA - Refuge de Poulainville
142077;IANA QCN (reservee);Cavalier King-Charles;Chien;senior;female;true;https://www.la-spa.fr/app/app/uploads/animals/142077/iana-qcn-reservee-142077-6729f2a2a51f2.jpg;La SPA - Refuge de Quimper – Du Corniguel
128309;MAJOR;Dogue argentin;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/128309/major-128309-66b1e5661c9c7.jpg;La SPA - Refuge d'Yvré-L'Évèque – Le Mans
127633;Falco;Croisé / Autre, Husky siberien;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/127633/falco-127633-66d082271dd1a.jpg;La SPA - Refuge de Golfech – Des Deux Rives
136419;Yokau;Berger;Chien;senior;male;true;https://www.la-spa.fr/app/app/uploads/animals/136419/yokau-136419-66ffa8269d4be.jpg;La SPA - Refuge de Flayosc – Draguignan
146843;CID HAA24364;Labrador (retriever);Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/146843/cid-haa24364-146843-674b1b1c337bc.jpg;La SPA - Refuge d'Hermeray
89516;TYSON;Croisé / Autre, Berger;Chien;junior;male;true;https://www.la-spa.fr/app/app/uploads/animals/89516/tyson-89516-65b8f45623db5.jpg;La SPA - Refuge de Redon
80437;TAZER;Croisé / Autre, Boxer, Staffie;Chien;junior;male;false;https://www.la-spa.fr/app/uploads/animals/80437/tazer-80437-645d42d141f54.jpg;La SPA - Refuge de Luynes – Tours
94428;OBELIX;Berger, Croisé / Autre;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/94428/obelix-94428-673dfe11bcb79.jpg;La SPA - Refuge de Châteaubourg
142258;ONYX;Berger allemand;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/142258/onyx-142258-671d2cf6bc4ae.jpg;La SPA - Refuge de Forbach
141566;MAXOU;Epagneul breton;Chien;senior;female;false;https://www.la-spa.fr/app/app/uploads/animals/141566/maxou-141566-671a0d8957384.jpg;La SPA - Refuge de Saint-Omer – Le Brockus
